
a,あ
i,い
u,う
e,え
o,お
yi,い
wu,う
wha,うぁ
whi,うぃ
whu,う
whe,うぇ
who,うぉ
wi,ゐ
we,ゑ
la,ぁ
li,ぃ
lu,ぅ
le,ぇ
lo,ぉ
xa,ぁ
xi,ぃ
xu,ぅ
xe,ぇ
xo,ぉ
lyi,ぃ
lye,ぇ
xyi,ぃ
xye,ぇ
ye,いぇ
ka,か
ki,き
ku,く
ke,け
ko,こ
sa,さ
si,し
su,す
se,せ
so,そ
ta,た
ti,ち
tu,つ
te,て
to,と
na,な
ni,に
nu,ぬ
ne,ね
no,の
ha,は
hi,ひ
hu,ふ
he,へ
ho,ほ
ma,ま
mi,み
mu,む
me,め
mo,も
ya,や
yi,い
yu,ゆ
ye,いぇ
yo,よ
ra,ら
ri,り
ru,る
re,れ
ro,ろ
wa,わ
wi,うぃ
wu,う
we,うぇ
wo,を
za,ざ
zi,じ
zu,ず
ze,ぜ
zo,ぞ
ga,が
gi,ぎ
gu,ぐ
ge,げ
go,ご
da,だ
di,ぢ
du,づ
de,で
do,ど
ba,ば
bi,び
bu,ぶ
be,べ
bo,ぼ
pa,ぱ
pi,ぴ
pu,ぷ
pe,ぺ
po,ぽ
nn,ん
fa,ふぁ
fi,ふぃ
fu,ふ
fe,ふぇ
fo,ふぉ
la,ぁ
li,ぃ
lu,ぅ
le,ぇ
lo,ぉ
ltu,っ
lwa,ゎ
lyo,ょ
lyu,ゅ
lya,ゃ
xa,ぁ
xi,ぃ
xu,ぅ
xe,ぇ
xo,ぉ
xtu,っ
xwa,ゎ
xyo,ょ
xyu,ゅ
xya,ゃ
zya,じゃ
zyi,じ
zyu,じゅ
zye,じぇ
zyo,じょ
sha,しゃ
shi,し
shu,しゅ
she,しぇ
sho,しょ
sya,しゃ
syi,しぃ
syu,しゅ
sye,しぇ
syo,しょ
qa,くぁ
qi,くぃ
qu,く
qe,くぇ
qo,くぉ
ca,か
ci,し
cu,く
ce,せ
co,こ
ja,じゃ
ji,じ
ju,じゅ
je,じぇ
jo,じょ
jya,じゃ
jyi,じぃ
jyu,じゅ
jye,じぇ
jyo,じょ
kya,きゃ
kyi,きぃ
kyu,きゅ
kye,きぇ
kyo,きょ
nya,にゃ
nyi,にぃ
nyu,にゅ
nye,にぇ
nyo,にょ
-,ー
kk,っk
ss,っs
tt,っt
hh,っh
mm,っm
yy,っy
rr,っr
ww,っw
gg,っg
zz,っz
dd,っd
bb,っb
pp,っp
ff,っf
rya,りゃ
ryi,りぃ
ryu,りゅ
rye,りぇ
ryo,りょ
dya,ぢゃ
dyi,ぢぃ
dyu,ぢゅ
dye,ぢぇ
dyo,ぢょ
gya,ぎゃ
gyi,ぎぃ
gyu,ぎゅ
gye,ぎぇ
gyo,ぎょ
va,ヴぁ
vi,ヴぃ
vu,ヴ
ve,ヴぇ
vo,ヴぉ
tya,ちゃ
tyi,ちぃ
tyu,ちゅ
tye,ちぇ
tyo,ちょ
tha,てゃ
thi,てぃ
thu,てゅ
the,てゅ
tho,てょ
twa,とぁ
twi,とぃ
twu,とぅ
twe,とぇ
two,とぉ
wha,うぁ
whi,うぃ
whu,う
whe,うぇ
who,うぉ
hya,ひゃ
hyi,ひぃ
hyu,ひゅ
hye,ひぇ
hyo,ひょ
tsu,つ
nk,んk
ns,んs
nt,んt
nh,んh
nm,んm
ny,んy
nr,んr
nw,んw
ng,んg
nz,んz
nd,んd
nb,んb
np,んp
zl,→
zk,↑
zj,↓
zh,←
.,。
